"","Id","country","city","settlement","establish","population","structures","kyc_pop","kyc_year","gpw20","gpw15","ghs15","hrsl18","wp_pb20","wp_u18","wp_u15","wp_c20","wpe16","ls18","ls15","grid16","area_m2"
"13","14","Tanzania","Dar es Salaam","BUGHUDADI","28-11-2017","22200","1261",22200,2017,12356.1279296875,9184.857421875,7507.8271484375,13330.251953125,5133.92041015625,12451.3935546875,10273.4599609375,15361.3974609375,10.60964012146,4109.05712890625,4026.81518554688,12356.1279296875,496531.155574333
"14","15","Tanzania","Dar es Salaam","BUTIAMA","12-06-2019","16100","2650",16100,2019,12285.9423828125,8791.1455078125,6662.55029296875,9577.9296875,3050.40112304688,13770.3642578125,11329.3037109375,12000.0712890625,6.49617481231689,2765.736328125,2642.1845703125,12285.9423828125,304020.981319182
"15","16","Tanzania","Dar es Salaam","BUZA","05-12-2017","55000","18241",55000,2017,42467.04296875,31462.912109375,29212.296875,37903.8828125,24636.26953125,39971.4609375,33558.63671875,52237.26953125,48.9294738769531,19081.255859375,9830.6484375,42467.04296875,2289899.31668615
"16","17","Tanzania","Dar es Salaam","BWAWANI","29-11-2017","9900","586",9900,2017,21605.498046875,16750.2421875,17562.83984375,19394.939453125,5526.54833984375,14281.3134765625,11916.78515625,13311.2177734375,18.0131816864014,30295.294921875,42828.30078125,21605.498046875,933842.054643273
"17","18","Tanzania","Dar es Salaam","CHAKULA BORA","30-11-2017","6676","1005",6676,2017,5767.81982421875,4471.65771484375,5261.40625,8168.31982421875,2137.23095703125,7899.38134765625,6738.7685546875,8553.6943359375,2.92973589897156,3272.96948242188,4626.9638671875,5767.81982421875,137111.643457316
"18","20","Tanzania","Dar es Salaam","DOVYA","08-05-2019","13550","990",13550,2019,17661.646484375,13073.1806640625,10544.02734375,17461.5625,22710.01171875,14828.1982421875,12381.0859375,19250.806640625,71.9113388061523,15893.5400390625,4440.7314453125,17661.646484375,3365450.71112461
"19","21","Tanzania","Dar es Salaam","FARU","26-02-2019","21672","1594",21672,2019,29391.287109375,21200.556640625,11203.7470703125,30141.455078125,5768.8779296875,21267.044921875,17457.13671875,23446.732421875,13.7050819396973,5643.06689453125,6036.30126953125,29391.287109375,641397.810696088
"20","22","Tanzania","Dar es Salaam","GOLANI","06-12-2017","24000","1968",24000,2017,32254.3203125,24899.236328125,13619.8408203125,26063.44140625,19037.2421875,17320.91796875,14134.4853515625,22969.55859375,74.6856384277344,9379.75,5272.3017578125,32254.3203125,3495287.83994459
"21","23","Tanzania","Dar es Salaam","GOROKA","14-11-2016","22245","4441",22245,2016,12504.044921875,9308.224609375,11389.154296875,15387.744140625,23534.7734375,12631.0283203125,10599.1513671875,15432.083984375,94.2362365722656,13982.6376953125,1855.46105957031,12504.044921875,4430749.45073201
"22","24","Tanzania","Dar es Salaam","JUHUDI","05-12-2017","28190","2975",28190,2017,6734.005859375,5005.6845703125,4293.5205078125,5261.8349609375,2213.509765625,4842.86279296875,4108.22265625,5761.35546875,3.68167757987976,1854.83752441406,1817.58569335938,6734.005859375,172302.508288298
"23","25","Tanzania","Dar es Salaam","KAGERA MIKOROSHINI","06-12-2017","9162","854",9162,2017,20877.572265625,16185.8974609375,12175.8955078125,16040.3125,4336.69873046875,13032.568359375,11068.791015625,16510.048828125,6.02752017974854,11673.3037109375,16502.349609375,20877.572265625,282087.930916145
"24","26","Tanzania","Dar es Salaam","KARAKATA","14-11-2016","40000","6529",40000,2016,27045.0625,19351.9609375,19551.083984375,24854.49609375,17137.01171875,23889.322265625,19657.513671875,41200.39453125,39.001823425293,14404.3017578125,15741.4140625,27045.0625,1825285.39870816
